date,base_inc,base_prev,future3_excl,future3_incl,future7_excl,future7_incl,future14_excl,future14_incl
2023-11-06,144066.08537162413,144138.2799661193,549372.0582354877,499674.04197907454,1171864.819150675,1075739.3406516397,1951500.0509550846,2048144.1565353558
2023-11-07,146255.77184899244,144066.08537162413,538227.5271212105,549372.0582354877,1003845.0969413571,1171864.819150675,1858143.256561822,1951500.0509550846
2023-11-08,147253.53449129043,146255.77184899244,435725.3896080769,538227.5271212105,933026.2036174894,1003845.0969413571,2021594.7109926227,1858143.256561822
2023-11-09,152715.9309542637,147253.53449129043,359986.1291507479,435725.3896080769,800665.9407285488,933026.2036174894,1906949.202195891,2021594.7109926227
2023-11-10,151324.5670204139,152715.9309542637,436617.0745373911,359986.1291507479,797395.7695901225,800665.9407285488,1809759.0989462412,1906949.202195891
2023-11-11,147004.12207550777,151324.5670204139,431847.0361116833,436617.0745373911,994771.3778921862,797395.7695901225,1987460.6212322856,1809759.0989462412
2023-11-12,147118.83891219032,147004.12207550777,356960.9049449242,431847.0361116833,972404.8158837159,994771.3778921862,1911275.641020398,1987460.6212322856
2023-11-13,152189.50874088128,147118.83891219032,178173.17981336138,356960.9049449242,779635.2318044094,972404.8158837159,1912201.7080837346,1911275.641020398
2023-11-14,148713.07426222664,152189.50874088128,331778.19976997585,178173.17981336138,854298.1596204648,779635.2318044094,2046279.8857926067,1912201.7080837346
2023-11-15,147919.43772454726,148713.07426222664,497470.5638827736,331778.19976997585,1088568.5073751335,854298.1596204648,2219674.6950104325,2046279.8857926067
2023-11-16,146851.64305807682,147919.43772454726,531725.0043059151,497470.5638827736,1106283.2614673423,1088568.5073751335,2328690.502687746,2219674.6950104325
2023-11-17,148221.4905316501,146851.64305807682,418856.536751678,531725.0043059151,1012363.3293561189,1106283.2614673423,2440750.9229174815,2328690.502687746
2023-11-18,150833.40623655234,148221.4905316501,291373.81783996196,418856.536751678,992689.2433400996,1012363.3293561189,2305420.359736961,2440750.9229174815
2023-11-19,149242.60568735393,150833.40623655234,473124.5964363417,291373.81783996196,938870.8251366821,992689.2433400996,2374134.932917136,2305420.359736961
2023-11-20,148531.7961514611,149242.60568735393,504821.20947629446,473124.5964363417,1132566.4762793256,938870.8251366821,2513907.800381038,2374134.932917136
2023-11-21,150082.14056094427,148531.7961514611,489843.36950563,504821.20947629446,1191981.7261721422,1132566.4762793256,2553654.4747134675,2513907.800381038
2023-11-22,154416.9474791248,150082.14056094427,401591.29984773975,489843.36950563,1131106.1876352993,1191981.7261721422,2425701.2401824216,2553654.4747134675
2023-11-23,153475.1911976826,154416.9474791248,364312.5679752548,401591.29984773975,1222407.241220404,1131106.1876352993,2463553.6079157637,2425701.2401824216
2023-11-24,147425.21700661952,153475.1911976826,539059.6836748844,364312.5679752548,1428387.593561363,1222407.241220404,2423071.6778518884,2463553.6079157637
2023-11-25,147510.9697361019,147425.21700661952,490666.3006720047,539059.6836748844,1312731.1163968612,1428387.593561363,2377721.5818474,2423071.6778518884
2023-11-26,144339.4785849388,147510.9697361019,665359.958934959,490666.3006720047,1435264.1077804537,1312731.1163968612,2514456.1819489286,2377721.5818474
2023-11-27,149984.7993456449,144339.4785849388,594661.9744173728,665359.958934959,1381341.3241017126,1435264.1077804537,2395158.690236576,2514456.1819489286
