date,target,fold_id,rank_score,raw_score,config_id
2024-05-27,0,3,0.18,0.016072768642217728,0
2024-05-28,0,3,0.4475,0.03663669169844069,0
2024-05-29,0,3,0.35,0.028009250907254573,0
2024-05-30,0,3,0.1,0.011710776739533626,0
2024-05-31,0,3,0.1825,0.016278041372089637,0
2024-06-01,0,3,0.4475,0.03639134031272685,0
2024-06-02,0,3,0.655,0.07134124653279725,0
2024-06-03,0,3,0.835,0.17796761093818225,0
2024-06-04,0,3,0.6325,0.06430130076769053,0
2024-06-05,0,3,0.55,0.04728413255811788,0
2024-06-06,0,3,0.615,0.061855719543553345,0
2024-06-07,0,3,0.65,0.0709509253849376,0
2024-06-08,0,3,0.6025,0.05857138916742441,0
2024-06-09,0,3,0.615,0.061837504583710436,0
2024-06-10,0,3,0.46,0.03747346955056848,0
2024-06-11,0,3,0.4875,0.04053405273633066,0
2024-06-12,0,3,0.5025,0.04258310186224289,0
2024-06-13,0,3,0.5525,0.04845059319161049,0
2024-06-14,1,3,0.83,0.1708780393999523,0
2024-06-15,1,3,0.6375,0.06623905514738877,0
2024-06-16,1,3,0.8725,0.6338172772131687,0
2024-06-17,1,3,0.8775,0.8141656528781518,0
2024-06-18,1,3,0.875,0.8020918070813733,0
2024-06-19,1,3,0.8725,0.6153838086588704,0
2024-06-20,1,3,0.8725,0.5339810200422572,0
2024-06-21,1,3,0.8725,0.6055131153075177,0
2024-06-22,0,3,0.8725,0.610979889984567,0
2024-06-23,0,3,0.04,0.008144955984363236,0
2024-06-24,0,3,0.3225,0.026519525445356306,0
2024-06-25,0,3,0.0225,0.0059742899197478905,0
2024-06-26,0,3,0.24,0.01946720123009434,0
2024-06-27,0,3,0.4175,0.03285182099886942,0
2024-06-28,0,3,0.11,0.012654913302830764,0
2024-06-29,0,3,0.24,0.01968130491010772,0
2024-06-30,0,3,0.1125,0.012846252210236,0
2024-07-08,0,4,0.47046843177189407,0.05721503873517708,0
2024-07-09,0,4,0.7067209775967414,0.12847620243200156,0
2024-07-10,0,4,0.5356415478615071,0.07447022552606807,0
2024-07-11,0,4,0.6293279022403259,0.09927691989261508,0
2024-07-12,0,4,0.6028513238289206,0.0917476287061009,0
2024-07-13,0,4,0.3604887983706721,0.04273406314325249,0
2024-07-14,1,4,0.8126272912423625,0.25851160309556664,0
2024-07-15,1,4,0.8513238289205702,0.6269774721193178,0
2024-07-16,0,4,0.8391038696537678,0.41274840150083975,0
2024-07-17,1,4,0.835030549898167,0.3629781303159116,0
2024-07-18,1,4,0.8289205702647657,0.31422975962139876,0
2024-07-19,0,4,0.845213849287169,0.45771463519527555,0
2024-07-20,0,4,0.845213849287169,0.4588770957165668,0
2024-07-21,0,4,0.5274949083503055,0.0715363599652625,0
2024-07-22,0,4,0.13441955193482688,0.018585519924090507,0
2024-07-23,0,4,0.07331975560081466,0.013750017523500144,0
