date,net_sales,gross_total,vat,discount,quantity,line_items,transactions,customers,products,families,classes,return_line_share,baseline28_daily,future7_sales,future_ratio,target,mean7,recent7_28,simple_risk
2023-08-07,75935.15,87325.54,11390.39,-5390.13,36.0,37.0,18.0,6.0,24.0,5.0,10.0,0.05405405405405406,49788.2725,292124.62,0.8381911336937544,1.0,64286.22714285714,1.2911921606209,-1.2911921606209
2023-08-08,6984.880000000003,8032.650000000001,1047.77,-7379.72,24.0,24.0,12.0,4.0,23.0,5.0,13.0,0.16666666666666666,47657.44678571429,324979.75,0.974153709496352,0.0,58301.18857142857,1.2233384812571375,-1.2233384812571375
2023-08-09,83597.95999999999,96137.67,12539.71,-23979.51,42.0,26.0,17.0,7.0,21.0,5.0,8.0,0.11538461538461539,49991.006428571425,254718.33999999997,0.7278976136979153,1.0,57764.08428571429,1.1554895252658948,-1.1554895252658948
2023-08-10,89168.69,102544.01999999999,13375.33,-5627.91,56.0,28.0,12.0,5.0,27.0,5.0,11.0,0.0,51878.614285714284,216310.64,0.5956504510666796,1.0,60162.37142857143,1.159675759595958,-1.159675759595958
2023-08-11,6500.01,7475.01,975.0,-669.5600000000001,5.0,5.0,5.0,2.0,5.0,3.0,4.0,0.0,51641.97642857143,212961.09,0.5891140301189369,1.0,58902.19,1.1405874459795422,-1.1405874459795422
2023-08-12,24037.57,27643.23,3605.66,-1686.96,17.0,12.0,9.0,2.0,10.0,5.0,8.0,0.0,51348.46464285714,218605.74,0.6081854958231085,1.0,55896.70428571427,1.0885759618031698,-1.0885759618031698
2023-08-13,44842.24,51568.6,6726.36,-3269.06,37.0,22.0,13.0,4.0,16.0,3.0,8.0,0.0,50626.92928571429,192898.05,0.5443123783035795,1.0,47295.21428571428,0.9341908536226364,-0.9341908536226364
2023-08-14,36993.27,42542.32,5549.05,-9035.76,29.0,29.0,14.0,5.0,26.0,5.0,8.0,0.06896551724137931,49992.57535714286,166400.45,0.47550046556556175,1.0,41732.08857142857,0.8347657281765932,-0.8347657281765932
2023-08-15,39840.01,45816.01,5976.0,-3104.3500000000004,20.0,16.0,11.0,5.0,16.0,5.0,9.0,0.0,49348.280000000006,143495.82,0.41540258053862983,1.0,46425.67857142857,0.9407760224151392,-0.9407760224151392
2023-08-16,13336.55,15337.05,2000.5,-2550.42,12.0,13.0,9.0,3.0,13.0,4.0,9.0,0.07692307692307693,48181.880000000005,166893.24000000002,0.49483107401727433,1.0,36388.334285714285,0.7552286105422678,-0.7552286105422678
2023-08-17,50760.990000000005,58375.2,7614.21,-9804.48,43.0,32.0,18.0,8.0,25.0,5.0,10.0,0.0,47261.85321428572,122673.1,0.37080070669195464,1.0,30901.52,0.6538364007837821,-0.6538364007837821
2023-08-18,3150.46,3623.0299999999997,472.57,-673.89,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,47267.288928571434,131906.98,0.39866585778148644,1.0,30423.012857142858,0.6436377788266423,-0.6436377788266423
2023-08-19,29682.22,34134.6,4452.38,-5902.92,24.0,24.0,15.0,4.0,22.0,4.0,11.0,0.0,47184.5725,130646.76000000001,0.39554926257184714,1.0,31229.391428571427,0.6618559790611948,-0.6618559790611948
