origin_week_start,forecast_h1_week_start,forecast_h2_week_start,predicted_value_h1,predicted_value_h2,predicted_count_h1,predicted_count_h2,actual_value_h1,actual_value_h2,actual_count_h1,actual_count_h2,predicted_value_h1_index_52median,predicted_value_h2_index_52median,predicted_count_h1_index_52median,predicted_count_h2_index_52median,predicted_value_h1_change_vs_last,predicted_value_h2_change_vs_last,predicted_count_h1_change_vs_last,predicted_count_h2_change_vs_last
2023-07-30,2023-08-06,2023-08-13,11256833.525237314,10754634.57269019,172889.42790675545,169018.7326458107,11969071.00000001,12020646.999999981,178956.00000000015,172775.00000000006,1.019143839087267,0.9736769706879947,1.1043931081832001,1.0796676566514254,-0.11116580613389826,-0.1508191953527117,-0.05856719264474697,-0.07964424489743416
2023-08-06,2023-08-13,2023-08-20,10875794.073857132,11249202.818322977,173453.45964535658,170233.0994131839,12020646.999999981,11367723.000000007,172775.00000000006,166096.99999999985,0.9787340510153755,1.0123378366951834,1.1051193794721181,1.084601584619644,-0.09134183648362248,-0.06014403136860191,-0.030748007077960104,-0.048743269780371135
2023-08-13,2023-08-20,2023-08-27,11728855.471553415,11605573.737233303,172981.5533048524,172566.28838313615,11367723.000000007,13836318.999999983,166096.99999999985,195602.00000000015,1.048932322958823,1.0379070190600392,1.0920793913050628,1.0894577113959978,-0.02427419492865779,-0.03453002677532224,0.0011955045860361224,-0.0012079966248811358
2023-08-20,2023-08-27,2023-09-03,11634187.197432889,11576120.256276494,172520.2398536579,169987.0682388214,13836318.999999983,11326867.999999993,195602.00000000015,180154.9999999999,1.0404659714955804,1.0352729420800493,1.0785683285318681,1.0627313538278207,0.02344041963662291,0.01833236579361519,0.03867161871471425,0.02342046056714686
2023-08-27,2023-09-03,2023-09-10,11465864.61488281,12538256.685055178,169798.18526998605,172366.70519608477,11326867.999999993,11186111.999999993,180154.9999999999,181876.00000000006,1.025412584747922,1.1213185073689926,1.0615504883933784,1.077608454959174,-0.17132117184615292,-0.09381558165468884,-0.13191999432528279,-0.11878863612803159
2023-09-03,2023-09-10,2023-09-17,11424280.894668017,11703619.360080663,177920.6357927104,173601.16633718833,11186111.999999993,10869164.000000019,181876.00000000006,173910.0,1.0147484333290313,1.0395603468979908,1.1088817784470002,1.0819608934667597,0.00860016155110288,0.03326174191141473,-0.012402454593486656,-0.036378860774398
2023-09-10,2023-09-17,2023-09-24,10847375.928367388,11338558.400373079,170331.46257127792,179301.24831853912,10869164.000000019,13624576.000000002,173910.0,191142.0000000001,0.9635055221882061,1.0071342326989117,1.0600201794250805,1.1158416568766554,-0.030281841593630787,0.013628184696620194,-0.06347477088083131,-0.014156632438919292
2023-09-17,2023-09-24,2023-10-01,11739202.755620724,11426079.3912901,178977.27847721602,173706.43205594856,13624576.000000002,12145546.999999994,191142.0000000001,189423.00000000006,1.0427210005277223,1.014908182695003,1.112980482915857,1.0802034217982113,0.08004652019425995,0.051238107299705904,0.02913736114781229,-0.0011705361626785926
2023-09-24,2023-10-01,2023-10-08,11829793.450811146,11654552.612057397,180633.27863586487,175022.8824685552,12145546.999999994,11146716.00000001,189423.00000000006,183771.99999999988,1.050767613427583,1.0352020502013124,1.1146349325903693,1.0800148249281434,-0.13173125895358906,-0.14459337214916657,-0.054978609432438375,-0.08433058946461158
2023-10-01,2023-10-08,2023-10-15,12362030.434666943,11304200.742828812,185560.8731788729,175637.97988022762,11146716.00000001,10056561.000000006,183771.99999999988,169961.99999999994,1.0894252674275506,0.9962022001479395,1.1359710632315452,1.0752248538734472,0.017824099208289423,-0.06927199385677629,-0.020388901142559868,-0.07277373982975865
2023-10-08,2023-10-15,2023-10-22,11703734.779120147,11303787.471491164,178920.0103489021,179089.60213991333,10056561.000000006,12301917.000000015,169961.99999999994,186331.00000000012,1.0314118266436392,0.9961657798980527,1.0858707560729868,1.0869000135940994,0.049971559257466325,0.014091277780035272,-0.026402224773621086,-0.025479386740562604
