week_start,indicator,sector,city,value,week_end,source,data_status
2023-01-01,Value of Transactions Change %,Public Utilities,Total,-11.929569501655765,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Recreation and Culture,Total,2216.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Recreation and Culture,Total,-14.93282149712092,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Recreation and Culture,Total,304813.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Recreation and Culture,Total,-19.96192576837738,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Restaurants & Café,Total,46381.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Restaurants & Café,Total,-3.841688435543393,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Restaurants & Café,Total,1713036.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Restaurants & Café,Total,-6.040436318639639,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Telecommunication,Total,480.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Telecommunication,Total,-9.433962264150944,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Telecommunication,Total,95323.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Telecommunication,Total,-16.93274308520836,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Total,Total,157175.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,Total,-6.650710030705636,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,Total,11173806.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Total,Total,-16.964319155045633,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Transportation,Total,2182.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Transportation,Total,-8.893528183716075,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Transportation,Total,542391.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Transportation,Total,-25.01959559123389,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions (In Thousand),Total,ABHA,2286.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions Change %,Total,ABHA,-5.1058530510585305,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions (In Thousand SAR),Total,ABHA,128203.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions Change %,Total,ABHA,-10.113722410746838,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions (In Thousand),Total,BURAIDAH,3645.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions Change %,Total,BURAIDAH,1.7020089285714284,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions (In Thousand SAR),Total,BURAIDAH,253326.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions Change %,Total,BURAIDAH,0.8367034996656371,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions (In Thousand),Total,DAMMAM,6875.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions Change %,Total,DAMMAM,-1.588892069853994,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions (In Thousand SAR),Total,DAMMAM,563578.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions Change %,Total,DAMMAM,-5.359901661807972,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions (In Thousand),Total,HAIL,2738.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions Change %,Total,HAIL,-1.1909058101768315,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions (In Thousand SAR),Total,HAIL,170002.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions Change %,Total,HAIL,-5.084613280181342,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions (In Thousand),Total,JEDDAH,19988.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions Change %,Total,JEDDAH,0.9494949494949496,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions (In Thousand SAR),Total,JEDDAH,1564566.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions Change %,Total,JEDDAH,-0.1555198043654032,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions (In Thousand),Total,KHOBAR,3555.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions Change %,Total,KHOBAR,-2.28147333699835,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions (In Thousand SAR),Total,KHOBAR,321868.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions Change %,Total,KHOBAR,-4.180001131258764,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions (In Thousand),Total,MADINA,6721.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Number of Transactions Change %,Total,MADINA,0.7948410317936413,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-08,Value of Transactions (In Thousand SAR),Total,MADINA,424380.0,2023-01-14,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
