origin_week_start,sector,forecast_h1_week_start,forecast_h2_week_start,predicted_value_h1,predicted_value_h2,predicted_count_h1,predicted_count_h2,actual_value_h1,actual_value_h2,actual_count_h1,actual_count_h2,predicted_value_h1_index_52median,predicted_value_h2_index_52median,predicted_count_h1_index_52median,predicted_count_h2_index_52median,predicted_value_h1_change_vs_last,predicted_value_h2_change_vs_last,predicted_count_h1_change_vs_last,predicted_count_h2_change_vs_last
2024-03-03,Electronic & Electric Devices,2024-03-10,2024-03-17,211729.18580550322,230104.5261129859,1059.7861280743887,1083.1038343072735,224001.0,213699.0,1171.0,1060.0,0.9373379897403007,1.018686739460766,1.0122121567090627,1.0344831273230883,-0.24296456044542292,-0.17726372768720933,-0.173978076325496,-0.1558037144916029
2024-03-03,Furniture,2024-03-10,2024-03-17,296562.82234006043,301984.4031278363,1282.8405561504064,1246.3328771478289,314338.0,296724.0,1349.0,1191.0,1.0204312166539713,1.0390861182893292,1.1322511528247188,1.1000290177827263,-0.3334153991353983,-0.3212293056899739,-0.2631587845201572,-0.2841281578702879
2024-03-03,Gas Stations,2024-03-10,2024-03-17,836592.8178650577,822996.1222803532,15688.204781327337,15684.5501416069,771934.0,742481.0,13957.0,13622.0,1.0963980379274383,1.07857886706794,1.1479734217274504,1.1477059960198228,-0.052065658143503835,-0.0674719279623166,0.008304182873406729,0.008069293759682461
2024-03-03,Health,2024-03-10,2024-03-17,750674.1319076223,693802.6798369961,7783.541422880347,6958.631304059411,693529.0,726877.0,7248.0,7166.0,0.991132879900213,0.9160441514107608,1.0155977848225923,0.9079633747467917,-0.06813033477752373,-0.13872925213610443,-0.01921101022173044,-0.1231563376941266
2024-03-03,Hotels,2024-03-10,2024-03-17,272935.719068348,310832.96201570856,688.6420554356276,663.4724198411126,271299.0,307124.0,467.0,549.0,0.9274978474547203,1.0562813257701524,1.0232422814793873,0.9858431201205239,-0.23840323052141765,-0.13265518882363192,-0.06307203342091483,-0.09731643559032299
2024-03-03,Jewelry,2024-03-10,2024-03-17,191347.26226239855,202703.35800970183,204.06954356373137,204.75575470061594,189110.0,302794.0,167.0,238.0,0.9339115139119839,0.9893373843743988,0.9382507750056615,0.941405768738464,-0.18217879805105508,-0.1336426666024062,-0.08488993917609255,-0.08181275919006303
2024-03-03,Miscellaneous Goods and Services,2024-03-10,2024-03-17,1481936.333712546,1440377.6513470607,24531.366302068127,24501.227188119854,1386411.0,1356710.0,20176.0,19179.0,1.1355307541010902,1.1036864967923408,1.2129229321170891,1.211432741068967,-0.1387966498142429,-0.16294780642486417,0.023120753308092157,0.021863752267583747
2024-03-03,Other,2024-03-10,2024-03-17,1760050.825218232,1813816.7374181172,28963.197084291067,27279.557283717062,1901933.0,1778313.0,27163.0,25124.0,0.9307833559684665,0.9592168622496898,1.1384009544961506,1.0722253472100096,-0.2752650043737185,-0.2531258493080145,-0.07005307162334029,-0.12411118048749203
2024-03-03,Public Utilities,2024-03-10,2024-03-17,90848.37867865348,101040.89765364904,1231.6600537761549,1246.3398065015535,85506.0,73599.0,1272.0,1089.0,0.8378489325296248,0.9318494118688841,0.8235774348219023,0.8333933844878325,-0.04096550498101448,0.06663110191862098,0.03154108356461882,0.04383568383714698
2024-03-03,Recreation and Culture,2024-03-10,2024-03-17,261785.55413370847,280652.4379776256,2552.042169166235,2263.5393334797604,224061.0,246451.0,2071.0,1882.0,0.9222672331643772,0.988735028985822,1.0684706590605966,0.9476823669582417,-0.17772138314484442,-0.11845976650262413,-0.16271582376435856,-0.2573689850788188
2024-03-03,Restaurants & Café,2024-03-10,2024-03-17,1773577.9728941189,1772969.3052699855,51456.38786653259,49469.83990681145,1225844.0,1279615.0,36428.0,35823.0,1.011401776529735,1.0110546773179874,1.0008731094508543,0.9622329616294303,-0.09600758591672887,-0.09631782370910336,-0.11868619418126625,-0.1527105828998141
2024-03-03,Telecommunication,2024-03-10,2024-03-17,93033.74193345991,90828.65282675221,725.1599533377268,725.1316233659743,98986.0,101985.0,860.0,871.0,0.9670414786570265,0.9441206266521026,1.000910908678712,1.0008718058881634,-0.17704940394466195,-0.19655500865330777,-0.2310074726005018,-0.23103751498836234
