SAMAWeekStart,ProductCategoryCOICOP,BaseNetSalesSAR,SAMASector,BaseWeekTotal,BaseCategoryShare,SAMASectorShareMapped,BlendedTargetShare,SAMATargetCategoryWeeklySAR,SAMACalibrationFactor
2023-12-10,Recreation and culture,31408.74,Recreation and Culture,779351.47,0.04030112370224952,0.04339722188848962,0.04138475806743355,42231.98726635607,1.3445934878749057
2023-12-17,Clothing and footwear,78050.34,Clothing and Footwear,793725.89,0.09833412388752998,0.11666385489750977,0.10474952974102292,98292.54313831778,1.2593480456115602
2023-12-17,Education,11314.57,Education,793725.89,0.014255009371056298,0.017417381492191845,0.015361839613453738,14414.902736293421,1.2740124225925882
2023-12-17,Food and non-alcoholic beverages,138386.65,Beverage and Food,793725.89,0.17435068169440712,0.26843445154721385,0.20728000114288947,194502.81547248748,1.4055027379627116
2023-12-17,Furniture and household equipment,131276.32,Furniture,793725.89,0.1653925135288204,0.046998790305857144,0.12395471040078326,116313.87510177186,0.8860232759554187
2023-12-17,Information and communication,228.56,Electronic & Electric Devices,793725.89,0.00028795835297749955,0.0339548802756404,0.012071381025909515,11327.27510244472,49.55930653852258
2023-12-17,Other retail goods,367053.05000000005,Other,793725.89,0.46244308598778355,0.2641393020390311,0.3930367616057202,368809.1291730673,1.004784265307337
2023-12-17,Personal care and miscellaneous goods,14751.66,Miscellaneous Goods and Services,793725.89,0.018585333029769256,0.20844694009841136,0.08503689550379398,79795.03812876657,5.409224326534543
2023-12-17,Recreation and culture,52664.74,Recreation and Culture,793725.89,0.06635129414765593,0.043944399344144514,0.05850888096642694,54902.26753843811,1.0424862543409141
2023-12-24,Clothing and footwear,103619.1,Clothing and Footwear,900780.5499999999,0.11503256814326199,0.11483612925572827,0.11496381453262519,141026.0436289076,1.3610043286315707
2023-12-24,Education,20081.02,Education,900780.5499999999,0.022292910298740354,0.023241799165480043,0.022625021402099245,27754.100438724858,1.3821061100842913
2023-12-24,Food and non-alcoholic beverages,154665.02,Beverage and Food,900780.5499999999,0.17170110966538965,0.2741028813170957,0.20754172974348678,254591.31773431043,1.6460820794146631
2023-12-24,Furniture and household equipment,136661.28,Furniture,900780.5499999999,0.1517142882359083,0.047902681176306326,0.11538022576504761,141536.8550426547,1.0356763455066036
2023-12-24,Information and communication,299.44,Electronic & Electric Devices,900780.5499999999,0.00033242280819673563,0.031162173877297254,0.011122835682381916,13644.375985589899,45.566310398042674
2023-12-24,Other retail goods,425661.18,Other,900780.5499999999,0.4725470371224157,0.26345915186813473,0.3993662772834174,489902.3773093617,1.1509209679617993
2023-12-24,Personal care and miscellaneous goods,13412.58,Miscellaneous Goods and Services,900780.5499999999,0.014889952941368462,0.2011270203200793,0.08007292652391726,98225.41184253801,7.32337938282851
2023-12-24,Recreation and culture,46380.93,Recreation and Culture,900780.5499999999,0.05148971078471888,0.04416816301987835,0.0489271690670247,60018.929500003964,1.2940432522591496
2023-12-31,Clothing and footwear,75009.97,Clothing and Footwear,784143.26,0.09565850250373892,0.12186476329561736,0.10483069378089638,123121.51759230216,1.641402037519841
2023-12-31,Education,17342.3,Education,784143.26,0.022116239320860834,0.02540477431519749,0.02326722656887866,27326.884350414522,1.5757358799244923
2023-12-31,Food and non-alcoholic beverages,140083.05,Beverage and Food,784143.26,0.1786447160178358,0.25659678073608777,0.205927938669224,241858.17539852767,1.7265341909569194
2023-12-31,Furniture and household equipment,119322.26,Furniture,784143.26,0.15216895443314785,0.045022782031489725,0.11466779409256751,134674.99182201648,1.1286661166325251
2023-12-31,Information and communication,181.57999999999998,Electronic & Electric Devices,784143.26,0.00023156482911043574,0.03110154293517805,0.0110360571662341,12961.624668649842,71.38244668272851
2023-12-31,Other retail goods,361730.37,Other,784143.26,0.46130648371574345,0.2646109973133793,0.392463063474916,460939.8853636252,1.274263715716281
2023-12-31,Personal care and miscellaneous goods,11970.78,Miscellaneous Goods and Services,784143.26,0.015266062479450502,0.21042161079055077,0.08357050438833559,98151.8575823933,8.199286728383054
2023-12-31,Recreation and culture,58502.95,Recreation and Culture,784143.26,0.07460747670011217,0.044976748582499504,0.06423672185894774,75444.7232502197,1.28958835836859
2024-01-07,Clothing and footwear,92216.17,Clothing and Footwear,749355.3400000001,0.12306066972179044,0.11447277559143834,0.1200549067761672,129982.91780635175,1.409545829178893
2024-01-07,Education,15031.86,Education,749355.3400000001,0.020059722267409208,0.014153523188686021,0.017992552589856093,19480.45729421198,1.2959445666878204
2024-01-07,Food and non-alcoholic beverages,110519.96,Beverage and Food,749355.3400000001,0.1474867183838311,0.2667019453171226,0.18921204781048312,204859.04923799325,1.8535932263999484
2024-01-07,Furniture and household equipment,130231.45,Furniture,749355.3400000001,0.173791315078905,0.042073134386943795,0.12768995183671858,138249.34740263422,1.0615665217782204
2024-01-07,Information and communication,370.95,Electronic & Electric Devices,749355.3400000001,0.0004950254975163051,0.02903466854302566,0.010483900563444578,11350.872878264601,30.599468602950807
2024-01-07,Other retail goods,319886.08,Other,749355.3400000001,0.4268816980739738,0.2749261837852926,0.3736972680729354,404600.38314756594,1.2648264755614433
2024-01-07,Personal care and miscellaneous goods,23457.17,Miscellaneous Goods and Services,749355.3400000001,0.031303133170439534,0.21486355448879638,0.09554928063186442,103450.78451465003,4.4101988651934585
2024-01-07,Recreation and culture,57641.7,Recreation and Culture,749355.3400000001,0.07692171780613452,0.04377421469869464,0.06532009171853057,70721.7750689938,1.2269203557319406
